Country-years: Peru(2015)
Sex: All sexes
Data source: WHO mortality database
Date: Sat Jul 27 17:37:35 CEST 2019
Code,Country,Year,List,Cause,Sex,Format,All ages,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+,Unknown
2370,Peru,2015,104,A000,1,00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2370,Peru,2015,104,A009,1,00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2370,Peru,2015,104,A010,1,00,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2370,Peru,2015,104,A010,2,00,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2370,Peru,2015,104,A014,1,00,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2370,Peru,2015,104,A014,2,00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2370,Peru,2015,104,A021,1,00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2370,Peru,2015,104,A021,2,00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2370,Peru,2015,104,A047,1,00,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2370,Peru,2015,104,A048,2,00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2370,Peru,2015,104,A049,1,00,111,44,5,3,1,0,6,2,2,0,2,0,1,2,0,2,2,2,3,7,7,7,8,4,1,0
2370,Peru,2015,104,A049,2,00,113,52,5,2,0,0,0,1,2,1,2,1,2,0,1,1,3,4,2,6,5,6,9,4,4,0
2370,Peru,2015,104,A052,1,00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2370,Peru,2015,104,A058,2,00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
